timestamp,transformer_id,delta_theta_TO_C,delta_theta_HS_C,theta_HS_C
2026-06-29 07:00:00,tx1,27.39,29.682,64.372
2026-06-29 07:30:00,tx1,42.662,28.463,78.625
2026-06-29 08:00:00,tx1,50.797,27.076,85.573
2026-06-29 08:30:00,tx1,54.809,25.934,88.394
2026-06-29 09:00:00,tx1,56.657,25.205,89.463
2026-06-29 09:30:00,tx1,57.335,24.655,90.29
2026-06-29 10:00:00,tx1,57.747,24.647,91.394
2026-06-29 10:30:00,tx1,58.439,25.187,93.176
2026-06-29 11:00:00,tx1,59.444,25.908,95.452
2026-06-29 11:30:00,tx1,60.976,27.04,98.416
2026-06-29 12:00:00,tx1,63.033,28.427,102.16
2026-06-29 12:30:00,tx1,65.621,30.073,106.745
